Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"49Kenny TeteFulham, 30, D(CR),M(R)","Kenny Tete Fulham, 30, D(CR),M(R)",29(2),2575,1,5,8,-,0.4,76.0,1.1,-,6.98
"50Granit XhakaArsenal, 33, D(L),M(C)","Granit Xhaka Arsenal, 33, D(L),M(C)",36(1),3004,7,7,5,-,1.1,86.5,1.0,1,6.98
"51Lucas PaquetáWest Ham, 28, M(CLR),FW","Lucas Paquetá West Ham, 28, M(CLR),FW",27(1),2171,4,3,5,-,1.9,80.2,1.3,4,6.98
"52Martin DúbravkaNewcastle, 37, GK","Martin Dúbravka Newcastle, 37, GK",1(1),156,-,-,-,-,-,87.5,-,-,6.98
"53James TarkowskiEverton, 33, D(C)","James Tarkowski Everton, 33, D(C)",38,3420,1,1,6,-,0.8,81.2,3.2,2,6.97
"54Luis DíazLiverpool, 29, AM(LR),FW","Luis Díaz Liverpool, 29, AM(LR),FW",11(6),997,4,2,2,-,1.6,82.7,0.5,2,6.97
"55Ollie WatkinsAston Villa, 30, AM(LR),FW","Ollie Watkins Aston Villa, 30, AM(LR),FW",36(1),3136,15,6,4,-,2.3,69.9,1.9,3,6.96
"56Diogo DalotMan Utd, 27, D(LR),M(LR)","Diogo Dalot Man Utd, 27, D(LR),M(LR)",24(2),2155,1,2,6,-,0.8,80.5,1.5,2,6.96
"57Pedro PorroTottenham, 26, D(R),M(R)","Pedro Porro Tottenham, 26, D(R),M(R)",13(2),1138,3,3,-,-,1.7,75.3,0.1,1,6.96
"58Marcus TavernierBournemouth, 27, M(CLR)","Marcus Tavernier Bournemouth, 27, M(CLR)",19(4),1749,5,4,1,-,1.6,77.3,0.7,3,6.95
"59Rúben NevesWolves, 29, D(C),DMC","Rúben Neves Wolves, 29, D(C),DMC",33(2),3022,6,1,12,-,1.9,84.0,0.7,5,6.95
"60James Ward-ProwseSouthampton, 31, M(CR)","James Ward-Prowse Southampton, 31, M(CR)",38,3373,9,4,6,-,1.2,85.3,1.2,2,6.95
"61David RayaBrentford, 30, GK","David Raya Brentford, 30, GK",38,3420,-,-,1,-,-,60.7,0.3,3,6.95
"62Thiago SilvaChelsea, 41, D(C)","Thiago Silva Chelsea, 41, D(C)",26(1),2352,-,2,2,-,0.6,91.3,2.3,1,6.95
"63Son Heung-MinTottenham, 33, M(CLR),FW","Son Heung-Min Tottenham, 33, M(CLR),FW",33(3),2899,10,6,2,-,2.3,82.0,0.3,2,6.95
"64N'Golo KantéChelsea, 35, M(C)","N'Golo Kanté Chelsea, 35, M(C)",6(1),520,-,1,1,-,1.1,82.5,0.3,1,6.95
"65Virgil van DijkLiverpool, 34, D(C)","Virgil van Dijk Liverpool, 34, D(C)",32,2836,3,1,3,-,0.9,90.5,3.1,2,6.94
"66João PalhinhaFulham, 30, D(C),DMC","João Palhinha Fulham, 30, D(C),DMC",35,3113,3,-,14,-,1.1,83.0,2.1,2,6.93
"67Aaron Wan-BissakaMan Utd, 28, D(LR),M(R)","Aaron Wan-Bissaka Man Utd, 28, D(LR),M(R)",16(3),1436,-,-,2,-,0.5,83.5,0.7,-,6.93
"68Douglas LuizAston Villa, 27, M(C)","Douglas Luiz Aston Villa, 27, M(C)",33(4),2933,6,6,6,1,0.9,86.4,0.7,3,6.93
"69Alisson BeckerLiverpool, 33, GK","Alisson Becker Liverpool, 33, GK",37,3330,-,1,1,-,-,83.4,0.3,2,6.92
"70Bernd LenoFulham, 34, GK","Bernd Leno Fulham, 34, GK",36,3240,-,-,3,-,-,76.3,0.3,3,6.92
"71Callum WilsonNewcastle, 34, FW","Callum Wilson Newcastle, 34, FW",21(10),1887,18,5,4,-,2.4,67.7,0.6,4,6.92
"72Moisés CaicedoBrighton, 24, D(R),DMC","Moisés Caicedo Brighton, 24, D(R),DMC",34(3),3141,1,1,10,-,0.8,88.8,1.0,-,6.92
"73Miguel AlmirónNewcastle, 32, AM(CLR),FW","Miguel Almirón Newcastle, 32, AM(CLR),FW",29(5),2508,11,2,2,-,2,84.5,0.2,2,6.91
"74Benoît BadiashileChelsea, 25, D(C)","Benoît Badiashile Chelsea, 25, D(C)",10(1),904,1,-,2,-,0.5,89.7,3.2,-,6.91
"75Wesley FofanaLeicester, 25, D(CR)","Wesley Fofana Leicester, 25, D(CR)",2,180,-,-,1,-,1,84.2,2.5,-,6.9
"76Christian NørgaardBrentford, 32, D(C),DMC","Christian Nørgaard Brentford, 32, D(C),DMC",21(1),1771,1,3,6,-,0.9,76.3,0.8,-,6.9
"77Lewis HallChelsea, 21, D(L),M(L)","Lewis Hall Chelsea, 21, D(L),M(L)",8(1),658,-,-,1,-,1.2,83.7,0.8,-,6.9
"78Luke ShawMan Utd, 30, D(CL),M(L)","Luke Shaw Man Utd, 30, D(CL),M(L)",30(1),2558,1,2,8,-,0.5,86.0,1.5,1,6.9
"79Joe WillockNewcastle, 26, M(C)","Joe Willock Newcastle, 26, M(C)",31(4),2578,3,6,1,-,1.7,85.1,0.5,2,6.88
"80Emiliano MartínezAston Villa, 33, GK","Emiliano Martínez Aston Villa, 33, GK",36,3141,-,-,7,-,-,71.6,0.4,3,6.87
"81Oleksandr ZinchenkoArsenal, 29, D(L),M(CLR)","Oleksandr Zinchenko Arsenal, 29, D(L),M(CLR)",26(1),2135,1,2,3,-,1.0,87.8,1.9,1,6.86
"82Jacob RamseyAston Villa, 24, M(CLR)","Jacob Ramsey Aston Villa, 24, M(CLR)",31(4),2647,6,7,5,-,0.9,83.7,0.5,1,6.86
"83Roberto FirminoLiverpool, 34, M(CLR),FW","Roberto Firmino Liverpool, 34, M(CLR),FW",13(12),1213,11,4,-,-,1.6,79.9,0.6,2,6.85
"84Sèrge AurierNottingham Forest, 33, D(CLR),M(R)","Sèrge Aurier Nottingham Forest, 33, D(CLR),M(R)",22(2),1949,1,-,2,-,0.4,72.8,1.9,1,6.85
