Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"136Danilo SoaresBochum, 34, D(L),M(L)","Danilo Soares Bochum, 34, D(L),M(L)",3(2),351,-,-,-,-,0.6,68.5,0.8,-,6.71
"137Maxence LacroixWolfsburg, 26, D(C)","Maxence Lacroix Wolfsburg, 26, D(C)",27(1),2365,4,1,3,3,0.4,85.2,2.3,-,6.71
"138Romano SchmidWerder Bremen, 26, AM(CLR),FW","Romano Schmid Werder Bremen, 26, AM(CLR),FW",30(3),2617,4,6,5,-,1.2,80.0,0.7,4,6.71
"139Eric DierBayern, 32, D(CR),DMC","Eric Dier Bayern, 32, D(CR),DMC",13(2),1167,-,-,1,-,0.6,91.9,2.3,-,6.71
"140Ozan KabakHoffenheim, 26, D(C)","Ozan Kabak Hoffenheim, 26, D(C)",28,2293,4,1,9,1,0.7,85.5,2.5,1,6.71
"141Manu KonéBorussia M.Gladbach, 24, DMC","Manu Koné Borussia M.Gladbach, 24, DMC",18(4),1567,1,-,4,1,1.1,85.4,1.0,-,6.7
"142Ivan OrdetsBochum, 33, D(C)","Ivan Ordets Bochum, 33, D(C)",21(3),1879,1,-,4,-,0.7,72.8,5.7,-,6.7
"143Jan SchöppnerFC Heidenheim, 26, M(C)","Jan Schöppner FC Heidenheim, 26, M(C)",23(3),2002,2,2,3,-,0.7,67.1,1.5,-,6.7
"144Ko ItakuraBorussia M.Gladbach, 29, D(C),DMC","Ko Itakura Borussia M.Gladbach, 29, D(C),DMC",18(2),1599,3,-,9,-,1.1,88.1,1.9,-,6.7
"145Anthony CaciMainz, 28, D(CLR),M(LR)","Anthony Caci Mainz, 28, D(CLR),M(LR)",29(2),2493,2,3,8,-,1,77.1,0.9,1,6.7
"146Kevin MüllerFC Heidenheim, 35, GK","Kevin Müller FC Heidenheim, 35, GK",34,3060,-,-,1,-,-,71.8,0.1,-,6.7
"147Felix UduokhaiAugsburg, 28, D(C)","Felix Uduokhai Augsburg, 28, D(C)",33,2923,2,-,3,1,0.4,81.7,3.4,1,6.69
"148Jamie GittensBorussia Dortmund, 21, AM(CLR)","Jamie Gittens Borussia Dortmund, 21, AM(CLR)",14(11),1060,1,4,1,-,1.7,80.3,0.2,1,6.69
"149Farès ChaïbiEintracht Frankfurt, 23, M(CLR),FW","Farès Chaïbi Eintracht Frankfurt, 23, M(CLR),FW",21(7),1924,2,4,2,-,1.4,72.8,0.4,1,6.69
"150Niels NkounkouEintracht Frankfurt, 25, D(L),M(L)","Niels Nkounkou Eintracht Frankfurt, 25, D(L),M(L)",13(16),1304,3,2,3,1,0.8,73.8,0.6,2,6.69
"151Niklas StarkWerder Bremen, 31, D(C),DMC","Niklas Stark Werder Bremen, 31, D(C),DMC",12(5),1086,2,-,4,-,0.2,79.9,1.8,1,6.69
"152Sasa KalajdzicEintracht Frankfurt, 28, FW","Sasa Kalajdzic Eintracht Frankfurt, 28, FW",5,329,-,1,-,-,0.4,77.9,1.8,-,6.69
"153Nicolas HöflerFreiburg, 36, D(C),DMC","Nicolas Höfler Freiburg, 36, D(C),DMC",26(2),2333,1,1,10,1,0.6,85.7,1.9,1,6.68
