"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Johnny,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,23,United States,Real Betis,,"
"Héctor Bellerín,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,29,Spain,Real Betis,,"
"Álex Berenguer,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,29,Spain,Athletic Club,,"
"Pablo Fornals,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,28,Spain,Real Betis,,"
"Ayoze Pérez,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,31,Spain,Villarreal,,"
"Djené,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,33,Togo,Getafe,,"
"Denis Suárez,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,31,Spain,Villarreal,,"
"Eric Bailly,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,30,Cote d'Ivoire,Villarreal,,"
"Javi Galán,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,30,Spain,Atletico Madrid,,"
"Nicolas Pépé,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,29,Cote d'Ivoire,Villarreal,,"
"Igor Zubeldia,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,27,Spain,Real Sociedad,,"
"Pape Gueye,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,26,Senegal,Villarreal,,"
"Ante Budimir,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,33,Croatia,Osasuna,,"
"Ander Barrenetxea,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,23,Spain,Real Sociedad,,"
"Raúl de Tomás,,""$ 32,411"",""$ 1,685,397"",,""$ 1,685,397"",""$ 1,685,397"",Active,F,30,Spain,Rayo Vallecano,,"
"Martín Zubimendi,,""$ 31,324"",""$ 1,628,840"",,""$ 1,628,840"",""$ 1,628,840"",Active,M,26,Spain,Real Sociedad,,"
"Dodi Lukébakio,,""$ 31,324"",""$ 1,628,840"",,""$ 1,628,840"",""$ 1,628,840"",Active,F,27,Belgium,Sevilla,,"
"Wojciech Szczesny,,""$ 31,324"",""$ 1,628,840"",,""$ 1,628,840"",""$ 1,628,840"",Active,K,34,Poland,Barcelona,,"
"Iago Aspas,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,F,37,Spain,Celta Vigo,,"
"Fábio Silva,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Loan,F,22,Portugal,Las Palmas,,"
"Suso,,""$ 29,149"",""$ 1,515,726"",,""$ 1,515,726"",""$ 1,515,726"",Active,F,31,Spain,Sevilla,,"
"Cédric Bakambu,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,F,33,Democratic Republic of the Congo,Real Betis,,"
"Sergi Darder,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,M,31,Spain,Mallorca,,"
"Álvaro Odriozola,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,29,Spain,Real Sociedad,,"
"Viktor Tsyhankov,,""$ 28,278"",""$ 1,470,481"",""$ 147,048"",""$ 1,617,529"",""$ 1,617,529"",Active,F,27,Ukraine,Girona,,"
"Carles Pérez,,""$ 26,756"",""$ 1,391,301"",,""$ 1,391,301"",""$ 1,391,301"",Loan,F,26,Spain,Getafe,,"
"Bryan Gil,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,F,23,Spain,Girona,,"
"Marc Bartra,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,34,Spain,Real Betis,,"
"Giuliano Simeone,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,22,Argentina,Atletico Madrid,,"
"Sergio Gómez,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,24,Spain,Real Sociedad,,"
"Florian Grillitsch,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,M,29,Austria,Valladolid,,"
"Logan Costa,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,23,Cape Verde,Villarreal,,"
"Ricardo Rodríguez,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,32,Switzerland,Real Betis,,"
"Juanlu Sánchez,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,21,Spain,Sevilla,,"
"José Ángel Carmona,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,23,Spain,Sevilla,,"
"David Soria,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,K,31,Spain,Getafe,,"
"Fran Beltrán,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,26,Spain,Celta Vigo,,"
"Marc Roca,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,28,Spain,Real Betis,,"
"Vicente Guaita,,""$ 25,016"",""$ 1,300,810"",,""$ 1,300,810"",""$ 1,300,810"",Active,K,38,Spain,Celta Vigo,,"
"Yeray Álvarez,,""$ 25,016"",""$ 1,300,810"",,""$ 1,300,810"",""$ 1,300,810"",Active,D,30,Spain,Athletic Club,,"
"Hamari Traoré,,""$ 25,016"",""$ 1,300,810"",,""$ 1,300,810"",""$ 1,300,810"",Active,D,33,Mali,Real Sociedad,,"
"Juanmi,,""$ 25,016"",""$ 1,300,810"",,""$ 1,300,810"",""$ 1,300,810"",Loan,F,31,Spain,Getafe,,"
"William Carvalho,,""$ 24,581"",""$ 1,278,187"",,""$ 1,278,187"",""$ 1,278,187"",Active,M,32,Portugal,Real Betis,,"
"Santi Comesaña,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,M,28,Spain,Villarreal,,"
"Iván Martín,,""$ 23,928"",""$ 1,244,253"",""$ 226,228"",""$ 1,470,481"",""$ 1,470,481"",Active,F,25,Spain,Girona,,"
"Isaac Romero,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,F,24,Spain,Sevilla,,"
"Natan,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Loan,D,24,Brazil,Real Betis,,"
"Luiz Júnior,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,K,24,Brazil,Villarreal,,"
"Aritz Elustondo,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,30,Spain,Real Sociedad,,"
"Gorka Guruzeta,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,28,Spain,Athletic Club,,"
"Adnan Januzaj,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Loan,F,30,Belgium,Las Palmas,,"
"Chimy Ávila,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,31,Argentina,Real Betis,,"
"Diego Rico,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,31,Spain,Getafe,,"
"Álvaro García,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,32,Spain,Rayo Vallecano,,"
"Kike Salas,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,22,Spain,Sevilla,,"
"Sergi Cardona,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,25,Spain,Villarreal,,"
"Mikel Vesga,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,31,Spain,Athletic Club,,"
"Sergi Altimira,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,23,Spain,Real Betis,,"
"Mikel Jauregizar,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,21,Spain,Athletic Club,,"
"Aitor Paredes,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,24,Spain,Athletic Club,,"
"Luis Milla,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,30,Spain,Getafe,,"
"Lucas Torró,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,M,30,Spain,Osasuna,,"
"Scott McKenna,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,28,Scotland,Las Palmas,,"
"Florian Lejeune,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,D,33,France,Rayo Vallecano,,"
"Abel Ruiz,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,25,Spain,Girona,,"
"Oliver McBurnie,,""$ 21,753"",""$ 1,131,139"",,""$ 1,131,139"",""$ 1,131,139"",Active,F,28,Scotland,Las Palmas,,"
