Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Siriki Dembélé,Auxerre,6.39,370,,,4(8)
Moussa Sissoko,Nantes,6.38,1923,2.0,,22(8)
Thierno Baldé,Troyes,6.38,2161,,1.0,25(6)
Alexandre Coeff,Auxerre,6.38,583,,1.0,6(1)
Matis Carvalho,Montpellier,6.38,134,,,1(1)
Yoann Cathline,Lorient,6.38,1085,1.0,1.0,11(12)
Ibrahima Niane,Angers,6.38,1147,2.0,,15(1)
Abdallah Sima,Angers,6.38,1833,5.0,1.0,19(15)
Christophe Hérelle,Brest,6.38,1060,,,12(4)
Brayann Pereira,Auxerre,6.38,180,,,2
Birger Meling,Rennes,6.37,1200,,1.0,10(17)
Wout Faes,Reims,6.37,270,,,3
Bamba Dieng,Marseille,6.37,188,1.0,,1(9)
Adrien Hunou,Angers,6.37,2248,4.0,1.0,28(6)
Cédric Hountondji,Angers,6.37,3097,,,35(1)
Vítinha,Marseille,6.37,460,2.0,,5(9)
Eric Bailly,Marseille,6.37,539,,,5(12)
Tanguy Zoukrou,Troyes,6.37,509,,,5(3)
Pierrick Capelle,Angers,6.36,1424,,3.0,15(11)
Romain Faivre,Lyon,6.36,297,,1.0,3(7)
Franci Bouebari,Strasbourg,6.36,74,,,0(2)
Ismaël DialloAC,Ajaccio,6.36,2183,,,25(3)
Batista Mendy,Angers,6.35,2871,,,35
Amine Salama,Angers,6.35,1245,3.0,1.0,12(13)
Mitchell van Bergen,Reims,6.35,889,,1.0,6(22)
Amine Gouiri,Nice,6.35,228,,,3
Mickaël AlphonseAC,Ajaccio,6.35,1357,,,14(12)
Moussa Diarra,Toulouse,6.35,1222,,1.0,12(11)
Denis Genreau,Toulouse,6.35,654,,1.0,7(13)
Rémy Descamps,Nantes,6.35,91,,,2
Jeff Reine-Adélaïde,Troyes,6.34,233,,1.0,3(3)
João Victor,Nantes,6.34,840,,1.0,9(4)
Komnen Andric,Clermont Foot,6.34,1442,4.0,3.0,16(18)
Ruben Aguilar,Monaco,6.34,1176,,,14(6)
Maxime Busi,Reims,6.34,1041,,1.0,11(10)
Khalil Fayad,Montpellier,6.34,707,,2.0,7(17)
Dennis Appiah,Nantes,6.34,796,,,9(6)
Bonke Innocent,Lorient,6.34,1183,,1.0,14(11)
Erik Palmer-Brown,Troyes,6.34,3194,,,36(2)
Amin Sarr,Lyon,6.33,537,1.0,1.0,6(7)
Timothée PembéléPSG,Desconocido,6.33,265,,1.0,4(1)
Florent Ogier,Clermont Foot,6.33,1695,,1.0,18(8)
Nordine Kandil,Strasbourg,6.33,94,,1.0,0(7)
Jérôme Boateng,Lyon,6.33,432,,,6(2)
Gauthier Hein,Auxerre,6.33,1886,2.0,,23(12)
Azzedine Ounahi,Marseille,6.32,117,1.0,,1(6)
Arnaud Souquet,Montpellier,6.32,355,,,3(9)
Thomas ManganiAC,Ajaccio,6.32,1329,1.0,1.0,14(12)
Moussa Dembélé,Lyon,6.32,866,3.0,,8(15)
Benoît Costil,Auxerre,6.32,1710,,,19
Alexis Beka Beka,Nice,6.32,546,,,7(7)
Enzo Tchato,Montpellier,6.32,1094,1.0,1.0,11(10)
Marcus Coco,Nantes,6.32,629,1.0,,6(20)
Malang Sarr,Monaco,6.32,713,,,8(5)
