"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Robin Zentner,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,K,30,Germany,Mainz,,"
"Frank Onyeka,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Loan,M,27,Nigeria,Augsburg,,"
"Kevin Kampl,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,M,34,Slovenia,Leipzig,,"
"Kevin Volland,,""$ 27,626"",""$ 1,436,547"",,""$ 1,436,547"",""$ 1,436,547"",Active,F,32,Germany,Union Berlin,,"
"Emiliano Buendía,,""$ 27,191"",""$ 1,413,924"",,""$ 1,413,924"",""$ 1,413,924"",Loan,F,28,Argentina,Bayer Leverkusen,,"
"Finn Dahmen,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,K,27,Germany,Augsburg,,"
"Dominik Kohr,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,31,Germany,Mainz,,"
"Hugo Larsson,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,20,Sweden,Eintracht Frankfurt,,"
"Ihlas Bebou,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,30,Togo,Hoffenheim,,"
"Kristijan Jakic,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,27,Croatia,Augsburg,,"
"Leo Østigård,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,D,25,Norway,Hoffenheim,,"
"Marvin Ducksch,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,30,Germany,Werder Bremen,,"
"Marius Wolf,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,29,Germany,Augsburg,,"
"Jacob Bruun Larsen,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,F,26,Denmark,Stuttgart,,"
"Valentin Gendrey,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,24,France,Hoffenheim,,"
"Jeffrey Gouweleeuw,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,33,Netherlands,Augsburg,,"
"Marius Bülter,,""$ 24,145"",""$ 1,255,564"",,""$ 1,255,564"",""$ 1,255,564"",Active,F,31,Germany,Hoffenheim,,"
"Marvin Friedrich,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,D,29,Germany,Monchengladbach,,"
"Alexander Prass,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,M,23,Austria,Hoffenheim,,"
"Robert Skov,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,M,28,Denmark,Union Berlin,,"
"Keven Schlotterbeck,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,D,27,Germany,Augsburg,,"
"Gift Emmanuel Orban,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,F,22,Nigeria,Hoffenheim,,"
"Silvan Widmer,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,D,31,Switzerland,Mainz,,"
"Dennis Geiger,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,M,26,Germany,Hoffenheim,,"
"Jonas Wind,,""$ 23,928"",""$ 1,244,253"",,""$ 1,244,253"",""$ 1,244,253"",Active,F,25,Denmark,Wolfsburg,,"
"Paul Wanner,,""$ 23,058"",""$ 1,199,007"",,""$ 1,199,007"",""$ 1,199,007"",Loan,F,19,Germany,Heidenheim,,"
"Sven Ulreich,,""$ 23,058"",""$ 1,199,007"",,""$ 1,199,007"",""$ 1,199,007"",Active,K,36,Germany,Bayern Munich,,"
