Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
48,Darryl Bakola,fr FRA,MF,Marseille,16,2007,2,0,14,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Dilane Bakwa,fr FRA,MF,Strasbourg,21,2002,30,29,2497,27.7,6,8,14,6,0,0,4,0,0.22,0.29,0.50,0.22,0.50,Matches
50,Leonardo Balerdi,ar ARG,DF,Marseille,25,1999,27,27,2273,25.3,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches
51,Fodé Ballo-Touré,sn SEN,"DF,MF",Le Havre,27,1997,10,9,589,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Folarin Balogun,us USA,FW,Monaco,23,2001,13,7,615,6.8,4,0,4,4,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches
53,Abdoulaye Bamba,ci CIV,DF,Angers,34,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Mohamed Bamba,ci CIV,MF,Reims,19,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Valentín Barco,ar ARG,MF,Strasbourg,20,2004,14,14,1157,12.9,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
56,Bradley Barcola,fr FRA,FW,Paris Saint-Germain,21,2002,34,27,2181,24.2,14,10,24,14,0,0,2,0,0.58,0.41,0.99,0.58,0.99,Matches
57,Melvin Bard,fr FRA,"DF,MF",Nice,23,2000,24,22,1938,21.5,2,1,3,2,0,0,4,2,0.09,0.05,0.14,0.09,0.14,Matches
58,Gabriel Bares,ch SUI,MF,Montpellier,23,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Téo Barisic,hr CRO,DF,Lyon,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,28,1996,25,22,2016,22.4,1,0,1,1,0,0,3,1,0.04,0.00,0.04,0.04,0.04,Matches
61,Haris Belkebla,dz ALG,MF,Angers,30,1994,22,21,1792,19.9,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,22,2002,29,16,1523,16.9,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches
63,Eliesse Ben Seghir,ma MAR,MF,Monaco,19,2005,33,19,1750,19.4,6,3,9,4,2,2,0,0,0.31,0.15,0.46,0.21,0.36,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,26,1997,12,8,646,7.2,0,2,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,28,1995,13,9,735,8.2,1,3,4,1,0,0,0,0,0.12,0.37,0.49,0.12,0.49,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,29,1994,10,3,329,3.7,1,0,1,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches
67,Lucas Beraldo,br BRA,DF,Paris Saint-Germain,20,2003,25,22,2011,22.3,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26,1998,11,9,763,8.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Mika Biereth,dk DEN,FW,Monaco,21,2003,16,16,1228,13.6,13,2,15,12,1,2,0,0,0.95,0.15,1.10,0.88,1.03,Matches
71,Emmanuel Biumla,fr FRA,DF,Angers,19,2005,17,15,1336,14.8,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
72,Marco Bizot,nl NED,GK,Brest,33,1991,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Ludovic Blas,fr FRA,"MF,FW",Rennes,26,1997,29,26,2293,25.5,6,8,14,6,0,0,6,0,0.24,0.31,0.55,0.24,0.55,Matches
74,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,23,2000,17,8,733,8.1,3,0,3,3,0,0,5,0,0.37,0.00,0.37,0.37,0.37,Matches
75,Mathéo Bodmer,fr FRA,DF,Le Havre,20,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
76,Jeremie Boga,ci CIV,"MF,FW",Nice,27,1997,21,12,1054,11.7,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
77,Moïse Bombito,ca CAN,DF,Nice,24,2000,27,25,2192,24.4,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
78,Saïmon Bouabré,fr FRA,MF,Monaco,18,2006,3,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Ayyoub Bouaddi,fr FRA,MF,Lille,16,2007,24,11,1151,12.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
80,Badredine Bouanani,dz ALG,"MF,FW",Nice,19,2004,26,11,1099,12.2,3,3,6,2,1,1,2,0,0.25,0.25,0.49,0.16,0.41,Matches
81,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,22,2001,25,20,1772,19.7,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
82,Hicham Boudaoui,dz ALG,MF,Nice,24,1999,29,27,2435,27.1,2,3,5,2,0,0,9,0,0.07,0.11,0.18,0.07,0.18,Matches
83,Justin Bourgault,fr FRA,DF,Brest,18,2005,2,2,122,1.4,1,0,1,1,0,0,0,0,0.74,0.00,0.74,0.74,0.74,Matches
84,Benjamin Bourigeaud,fr FRA,MF,Rennes,30,1994,1,1,80,0.9,1,0,1,1,0,0,0,0,1.13,0.00,1.13,1.13,1.13,Matches
85,Bilal Brahimi,dz ALG,MF,Nice,24,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Lilian Brassier,fr FRA,DF,Marseille,24,1999,12,9,779,8.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Lilian Brassier,fr FRA,DF,Rennes,24,1999,14,14,1234,13.7,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,Matches
88,Anthony Briançon,fr FRA,"DF,MF",Saint-Étienne,29,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Aurélio Buta,pt POR,DF,Reims,27,1997,27,24,1970,21.9,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
90,Marcin Bułka,pl POL,GK,Nice,24,1999,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Rémy Cabella,fr FRA,MF,Lille,34,1990,23,12,1011,11.2,1,2,3,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
92,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,27,1997,15,9,732,8.1,1,0,1,1,0,0,3,1,0.12,0.00,0.12,0.12,0.12,Matches
